t_index    term                 df
2086       catastroph           12
2087       catcal               1
2088       catch                15
2089       catchup              1
2090       cate                 4
2091       categor              1
2092       categori             1
2093       caterpillar          2
2094       cathedr              1
2095       catherin             3
2096       cathi                1
2097       cathol               7
2098       cattl                2
2099       caucasian            2
2100       caught               46
2101       caus                 88
2102       caution              18
2103       cautiou              19
2104       cautious             2
2105       cave                 3
2106       cavern               1
2107       cavort               1
2108       cawl                 3
2109       cayman               3
2110       cb                   4
2111       cbsnew               1
2112       cbss                 1
2113       cd                   1
2114       ceas                 7
2115       ceasefir             7
2116       ceaselessli          2
2117       ceausescu            1
2118       cecil                1
2119       cedar                2
2120       cede                 3
2121       cedomir              1
2122       cedric               6
2123       ceil                 2
2124       celebr               83
2125       celebrateor          1
2126       celera               1
2127       celest               1
2128       cell                 23
2129       cellblock            1
2130       cellphon             2
2131       cellular             10
2132       cement               6
2133       cementreinforc       1
2134       cemeteri             8
2135       censor               2
2136       censorship           2
2137       cent                 1
2138       center               140
2139       centercourt          4
2140       centerleft           1
2141       centerpiec           2
2142       centigrad            1
2143       centimet             1
2144       central              84
2145       centrist             6
2146       centuri              24
2147       ceo                  1
2148       ceremoni             52
2149       cerf                 9
2150       cerna                3
2151       certainli            6
2152       certainti            4
2153       certif               3
2154       certifi              3
2155       cesar                2
2156       cessat               1
2157       cessna               7
2158       cetera               1
2159       cetinj               1
2160       cha                  1
2161       chad                 1
2162       chadwick             2
2163       chafe                3
2164       chagrin              1
2165       chain                10
2166       chair                17
2167       chairman             55
2168       chairmen             3
2169       chalk                2
2170       challeng             84
2171       chamber              16
2172       chamberlain          2
2173       chameleon            1
2174       champ                9
2175       champion             55
2176       championship         7
2177       chanc                99
2178       chancellor           5
2179       chanda               3
2180       chandeli             2
2181       chandler             6
2182       chandrika            1
2183       chang                133
2184       changeov             9
2185       channel              18
2186       chant                31
2187       chao                 36
2188       chaotic              7
2189       chap                 2
2190       chapel               4
2191       chaplain             7
2192       chaplin              1
2193       chappaqua            11
2194       chapter              7
2195       char                 3
2196       charact              13
2197       character            7
2198       characterist         5
2199       charad               1
2200       charg                193
2201       charisma             2
2202       charit               5
2203       chariti              5
2204       charl                24
2205       charleston           2
2206       charlestown          1
2207       charli               2
2208       charlott             2
2209       chart                2
2210       charter              7
2211       chase                22
2212       chasm                2
2213       chat                 5
2214       chattanooga          1
2215       chatti               1
2216       chau                 1
2217       chauffeur            1
2218       chavez               4
2219       cheap                1
2220       cheat                11
2221       chebeck              8
2222       chechnya             8
2223       check                40
2224       checker              1
2225       checkpoint           2
2226       checkup              3
2227       cheek                1
2228       cheer                34
2229       cheerlead            2
2230       chees                1
2231       chef                 2
2232       chela                4
2233       chell                1
2234       chelsea              17
2235       chemic               7
2236       chemistri            3
2237       chemotherapi         1
2238       cheney               31
2239       cheri                12
2240       cherish              2
2241       chernomyrdin         2
2242       cheroke              3
2243       cheron               3
2244       cherri               2
2245       chesapeak            1
2246       chest                8
2247       chetna               1
2248       chetsov              1
2249       chew                 1
2250       chi                  25
2251       chic                 1
2252       chicago              6
2253       chicken              2
2254       chide                1
2255       chief                196
2256       chiefli              3
2257       child                45
2258       childhood            4
2259       children             69
2260       chile                8
2261       chill                13
2262       chilli               5
2263       chillicoth           1
2264       china                31
2265       chinayugoslavia      2
2266       chines               10
2267       chineseamerican      2
2268       ching                1
2269       chink                1
2270       chino                1
2271       chip                 8
2272       chirac               6
2273       chisel               1
2274       chizhov              1
2275       chizov               1
2276       chladkova            3
2277       chlorin              4
2278       chocol               1
2279       choi                 1
2280       choic                41
2281       chok                 1
2282       choke                7
2283       cholera              1
2284       chomp                1
2285       chon                 1
2286       choos                18
2287       chopper              1
2288       chopstick            1
2289       choreograph          1
2290       chorichech           1
2291       choru                1
2292       chose                13
2293       chosen               14
2294       chouchescu           1
2295       chow                 1
2296       chri                 34
2297       chrisdorton          1
2298       christen             3
2299       christi              4
2300       christian            27
2301       christina            3
2302       christma             61
2303       christmasev          1
2304       christoph            17
2305       chronic              2
2306       chronicl             2
2307       chrysanthemum        1
2308       chu                  1
2309       chubbi               2
2310       chuck                9
2311       chuckl               2
2312       chudakova            3
2313       chunk                4
2314       church               43
2315       churchvil            1
2316       cia                  25
2317       cienfuego            1
2318       cigarett             2
2319       cinder               1
2320       cinderblock          3
2321       cinema               2
2322       circl                19
2323       circu                3
2324       circuit              8
2325       circul               8
2326       circumst             32
2327       circumstanti         2
2328       circumv              3
2329       cisnero              7
2330       ciss                 1
2331       citadel              1
2332       citat                2
2333       cite                 38
2334       citi                 217
2335       cities/town          3
2336       citizen              73
2337       citizenri            2
2338       citizenship          10
2339       citywid              1
2340       civic                4
2341       civil                61
2342       civilian             52
2343       cj                   1
2344       clad                 1
2345       claiborn             1
2346       claim                129
2347       clair                6
2348       clamber              5
2349       clamor               3
2350       clandestin           2
2351       clap                 1
2352       clarenc              1
2353       clarifi              3
2354       clariti              1
2355       clark                41
2356       clarkston            1
2357       clash                54
2358       clasp                1
2359       class                29
2360       classic              7
2361       classifi             36
2362       classmat             2
2363       classroom            2
2364       clavet               1
2365       claw                 6
2366       clay                 4
2367       claycourt            1
2368       clean                23
2369       cleanair             1
2370       cleanli              1
2371       cleans               6
2372       clear                187
2373       clearanc             5
2374       clearer              4
2375       clearest             1
2376       clearli              8
2377       cleavag              1
2378       cleaver              1
2379       clemenc              31
2380       clement              24
2381       clergi               2
2382       cleric               3
2383       clerk                6
2384       cleveland            1
2385       clever               4
2386       cleverli             1
2387       click                2
2388       client               9
2389       cliffhang            1
2390       clifford             2
2391       clijster             11
2392       climact              1
2393       climat               3
2394       climatecontrol       1
2395       climax               4
2396       climb                22
2397       clime                1
2398       clinch               2
2399       cling                8
2400       clinic               8
2401       clink                1
2402       clinton              271
2403       clintonesqu          1
2404       clintongor           1
2405       clintonit            1
2406       clintonlazio         2
2407       clip                 2
2408       clister              1
2409       cloak                1
2410       clock                8
2411       clod                 1
2412       clodfelt             4
2413       clog                 1
2414       cloister             1
2415       cloner               1
2416       closabl              1
2417       close                252
2418       closeddoor           6
2419       closeknit            1
2420       closemouth           1
2421       closer               29
2422       closest              32
2423       closet               1
2424       closeup              1
2425       closhg               1
2426       closur               7
2427       cloth                44
2428       cloud                21
2429       cloudless            1
2430       clout                4
2431       clown                1
2432       clton                1
2433       club                 15
2434       clue                 27
2435       clump                1
2436       clumsi               1
2437       clung                2
2438       cluster              4
2439       clutch               4
2440       clyde                1
2441       cmc                  1
2442       cmdr                 35
2443       cnn                  49
2444       coach                15
2445       coachlight           8
2446       coal                 31
2447       coalfir              1
2448       coalit               34
2449       coalitionbuild       1
2450       coalmin              1
2451       coast                106
2452       coastal              10
2453       coastlin             9
2454       coat                 8
2455       coauthor             1
2456       coax                 3
2457       cobar                1
2458       coburn               4
2459       coca                 2
2460       cocain               8
2461       cochran              4
2462       cochranvil           1
2463       cock                 6
2464       cocker               1
2465       cocktail             3
2466       coco                 2
2467       cocoa                14
2468       cocodi               3
2469       code                 7
2470       codefend             1
2471       codi                 5
2472       codirector           1
2473       coercion             1
2474       coetzer              16
2475       coetzerhingi         2
2476       coexist              1
2477       coey                 1
2478       coffe                25
2479       coffeepick           1
2480       coffeerel            1
2481       coffer               2
2482       coffield             1
2483       coffin               14
2484       cognac               1
2485       cohen                56
2486       coher                1
2487       cohes                3
2488       cohort               1
2489       coil                 2
2490       coin                 3
2491       coincid              6
2492       coincident           1
2493       cojustic             1
2494       coker                1
2495       coki                 2
2496       col                  18
2497       cold                 43
2498       coldblood            1
2499       cole                 290
2500       coleman              1
2501       coler                7
2502       colin                7
2503       colina               23
2504       collabor             3
2505       collag               1
2506       collaps              86
2507       collarpin            1
2508       collat               2
2509       colleagu             23
2510       collect              32
2511       collector            5
2512       colleg               34
2513       collegeag            1
2514       coller               4
2515       collid               7
2516       collin               2
2517       collis               20
2518       collus               1
2519       colo                 9
2520       colobora             1
2521       colombia             10
2522       colombian            3
2523       colon                4
2524       coloni               20
2525       colonna              1
2526       color                13
2527       colorado             24
2528       columbia             14
2529       columbin             1
2530       column               7
2531       columnist            1
2532       comasagua            5
2533       comb                 10
2534       combat               22
2535       combin               20
2536       combrat              1
2537       comeback             17
2538       comedian             1
2539       comefrombehind       1
2540       comen                1
2541       comfort              25
2542       comic                1
2543       command              127
2544       commando             5
2545       commemor             7
2546       commenc              1
2547       commend              3
2548       comment              82
2549       commentari           5
2550       commerc              10
2551       commerci             38
2552       comminut             1
2553       commiss              94
2554       commissari           2
2555       commission           15
2556       commit               89
2557       committe             79
2558       commod               11
2559       common               36
2560       commonli             5
2561       commonsens           3
2562       commot               1
2563       commun               113
2564       communiqu            5
2565       communist            58
2566       communistrul         1
2567       communistrun         1
2568       communistturnedsocialist 1
2569       commut               20
2570       compact              1
2571       compani              76
2572       companion            4
2573       companionship        4
2574       compar               31
2575       comparison           9
2576       compart              38
2577       compass              5
2578       compassion           3
2579       compel               10
2580       compens              3
2581       compensatori         1
2582       compet               16
2583       competit             22
2584       competitor           2
2585       compil               4
2586       complac              4
2587       complain             40
2588       complaint            21
2589       complement           2
2590       complet              104
2591       complex              41
2592       compli               5
2593       complianc            2
2594       complic              31
2595       compliment           5
2596       compos               1
2597       composit             4
2598       composur             5
2599       compound             30
2600       comprehend           1
2601       comprehens           5
2602       compress             1
2603       compris              3
2604       compromis            16
2605       compuls              1
2606       comput               14
2607       computerlink         1
2608       comrad               7
2609       conceal              10
2610       conced               49
2611       conceiv              9
2612       concentr             20
2613       concept              7
2614       concern              104
2615       concert              7
2616       concess              16
2617       conchita             3
2618       concili              2
2619       conciliatori         3
2620       conclud              47
2621       conclus              31
2622       concret              38
2623       concur               1
2624       concuss              1
2625       condemn              24
2626       condit               138
2627       condol               15
2628       condoleezza          1
2629       condon               2
2630       conduct              51
2631       conduit              1
2632       confer               68
2633       confess              10
2634       confetti             6
2635       confettilik          1
2636       confettis            1
2637       confid               60
2638       confidenti           1
2639       configur             1
2640       confin               6
2641       confirm              117
2642       confisc              1
2643       conflict             46
2644       conform              1
2645       confound             2
2646       confront             39
2647       confus               22
2648       cong                 1
2649       congeni              1
2650       congest              5
2651       congo                2
2652       congratul            29
2653       congreg              1
2654       congress             112
2655       congression          39
2656       congressman          42
2657       congressmen          1
2658       congresswoman        2
2659       conjunct             2
2660       conn                 1
2661       connal               24
2662       connect              66
2663       connecticut          13
2664       connelli             1
2665       connett              1
2666       conni                7
2667       conniv               1
2668       connoli              1
2669       connolli             1
2670       connor               1
2671       conquer              1
2672       conqueror            3
2673       conquest             2
2674       conrad               6
2675       conscienc            3
2676       consciou             4
2677       conscious            2
2678       consecut             27
2679       consensu             9
2680       consent              2
2681       consequ              18
2682       consequenti          1
2683       conserv              19
2684       conservat            1
2685       conservationist      1
2686       consid               77
2687       consign              1
2688       consist              14
2689       consistu             1
2690       consol               8
2691       consolid             13
2692       consortium           7
2693       conspicu             2
2694       conspir              6
2695       conspiraci           18
2696       constant             10
2697       constantinescu       1
2698       constantli           10
2699       constern             1
2700       constitu             5
2701       constitut            105
2702       constrain            1
2703       constrict            1
2704       construct            30
2705       consul               10
2706       consular             3
2707       consult              20
2708       consum               4
2709       consumpt             1
2710       contact              38
2711       contamin             1
2712       contempl             4
2713       contemporari         2
2714       contempt             9
2715       contend              25
2716       content              20
2717       contenti             4
2718       contest              44
2719       context              10
2720       contin               6
2721       continent            1
2722       conting              4
2723       continu              230
2724       contort              1
2725       contract             26
2726       contractor           4
2727       contradict           6
2728       contrari             7
2729       contrast             5
2730       contribut            47
2731       contributor          5
2732       contrit              1
2733       contriv              1
2734       control              170
2735       controversi          34
2736       conven               8
2737       conveni              16
2738       convent              8
2739       converg              14
2740       convers              18
2741       convert              5
2742       convey               3
2743       convict              123
2744       convictsgetaway      1
2745       convinc              27
2746       convincingli         1
2747       convok               1
2748       convoy               14
2749       cooey                1
2750       cook                 20
2751       cool                 5
2752       cooler               2
2753       coolingoff           3
2754       coon                 1
2755       cooper               77
2756       coopt                1
2757       coordin              27
2758       cop                  1
2759       cope                 9
2760       copi                 19
2761       copper               2
2762       coproduct            6
2763       copsstyl             1
2764       cord                 1
2765       cordial              3
2766       cordillera           1
2767       cordon               10
2768       core                 10
2769       corech               1
2770       coretta              1
2771       corey                2
2772       cori                 3
2773       corina               4
2774       corn                 2
2775       cornahaim            1
2776       cornaheim            1
2777       cornard              1
2778       corner               34
2779       cornerston           1
2780       cornett              2
2781       corni                1
2782       cornwal              1
2783       corollari            1
2784       coron                2
2785       corp                 16
2786       corpor               15
2787       corps                13
2788       corpu                1
2789       corral               1
2790       correct              24
2791       correctli            5
2792       correl               4
2793       correspond           25
2794       corridor             2
2795       corros               3
2796       corrug               1
2797       corrugatediron       1
2798       corrupt              78
2799       corzin               13
2800       cosbi                1
2801       cosic                1
2802       cosmeniov            1
2803       cosminov             1
2804       cost                 41
2805       costa                4
2806       costello             1
2807       costelow             1
2808       costli               5
2809       costliest            3
2810       cot                  4
2811       coteri               1
2812       cotibua              1
2813       coton                1
2814       cotton               7
2815       couch                2
2816       coue                 1
2817       couldv               1
2818       coulibali            9
2819       council              43
2820       councilman           1
2821       counsel              24
2822       counselor            2
2823       count                79
2824       counter              19
2825       counterattack        4
2826       counterintellig      4
2827       counternarcot        1
2828       counterpart          5
2829       counterpunch         2
2830       counterrevolutionari 1
2831       counterterror        11
2832       counti               35
2833       countless            1
2834       countri              410
2835       countryman           7
2836       countrymen           8
2837       countrysid           15
2838       countryspan          1
2839       coup                 43
2840       coupdetour           1
2841       coupl                40
2842       courag               11
2843       courier              3
2844       cours                28
2845       court                190
2846       courtappoint         2
2847       courtesi             1
2848       courthous            4
2849       courtland            1
2850       courtroom            7
2851       courtsid             2
2852       courtyard            6
2853       cousin               4
2854       coustunitza          1
2855       coven                1
2856       cover                66
2857       coverag              19
2858       coverdel             3
2859       coverup              1
2860       covic                3
2861       cow                  7
2862       coward               2
2863       cowardli             15
2864       cowboy               3
2865       cower                3
2866       cowl                 1
2867       cpn                  2
2868       crabbi               1
2869       crack                32
2870       crackdown            10
2871       crackl               2
2872       cradl                1
2873       craft                19
2874       crafti               2
2875       cragey               3
2876       craggi               1
2877       craig                13
2878       cram                 3
2879       cramp                8
2880       crane                18
2881       cranni               1
2882       crap                 1
2883       crash                85
2884       crater               6
2885       crave                2
2886       crawl                9
2887       crazi                7
2888       creak                1
2889       creaki               2
2890       cream                3
2891       creasingli           1
2892       creat                48
2893       creation             5
2894       creativ              2
2895       creator              1
2896       credenc              2
2897       credenti             16
2898       credibl              42
2899       credit               20
2900       creditor             4
2901       cree                 1
2902       creed                2
2903       creek                1
2904       creep                5
2905       creepi               1
2906       cremat               4
2907       crematoria           1
2908       crematorium          1
2909       crept                6
2910       crescent             1
2911       crest                2
2912       crestfallen          1
2913       crevic               1
2914       crew                 133
2915       crewman              4
2916       crewmemb             5
2917       crewmen              10
2918       cri                  32
2919       crime                78
2920       crimefight           1
2921       crimin               105
2922       criminolog           1
2923       crippl               39
2924       crise                14
2925       crisi                54
2926       crisp                3
2927       cristo               1
2928       criteria             2
2929       critic               121
2930       croat                3
2931       croatia              14
2932       croatian             2
2933       croifl               1
2934       croni                18
2935       crook                7
2936       crop                 3
2937       crosbi               5
2938       cross                43
2939       crosscourt           7
2940       crossfir             1
2941       crossleg             2
2942       crouch               12
2943       crous                1
2944       crow                 1
2945       crowbar              6
2946       crowd                104
2947       crowdpleas           2
2948       crowley              10
2949       crown                8
2950       crucial              21
2951       crucifi              1
2952       crude                1
2953       crue                 1
2954       cruel                3
2955       cruelti              3
2956       cruis                16
2957       cruiser              3
2958       cruman               1
2959       crumbl               21
2960       crumpl               3
2961       crusad               4
2962       crush                22
2963       crust                1
2964       crutch               6
2965       cruz                 1
2966       cryptic              1
2967       crystal              2
2968       cuba                 9
2969       cuban                2
2970       cubanamerican        2
2971       cue                  1
2972       cuellar              6
2973       culdesac             1
2974       culmin               8
2975       culpabl              1
2976       culprit              9
2977       cultiv               2
2978       cultur               11
2979       cummin               2
2980       cun                  5
2981       cuomo                3
2982       cup                  9
2983       cupboard             1
2984       curb                 4
2985       curdl                1
2986       cure                 1
2987       curfew               10
2988       curios               2
2989       curiou               9
2990       currenc              2
2991       current              38
2992       curriculum           4
2993       curs                 4
2994       cursori              1
2995       curt                 2
2996       curtail              4
2997       curtain              3
2998       curti                3
2999       curv                 3
3000       cush                 2
3001       cusp                 1
3002       cussin               2
3003       custodi              21
3004       custodian            3
3005       custom               9
3006       customari            2
3007       cut                  113
3008       cutback              1
3009       cutigua              1
3010       cutter               7
3011       cw                   1
3012       cybercaf             1
3013       cybernet             1
3014       cycl                 3
3015       cyclon               1
3016       cylind               1
3017       cylindr              1
3018       cynic                9
3019       cypru                1
3020       cyr                  1
3021       czarist              1
3022       czaristera           1
3023       czech                14
3024       czechoslovakian      1
3025       da                   2
3026       dad                  11
3027       dada                 1
3028       dadiv                1
3029       daejung              5
3030       daewoo               5
3031       dagestan             3
3032       dagger               3
3033       daili                29
3034       daja                 2
3035       dakota               19
3036       dakotan              1
3037       dakouri              1
3038       dalal                1
3039       dale                 2
3040       daley                7
3041       dalla                30
3042       dallasarea           5
3043       dallasbas            2
3044       dallasfort           2
3045       dalworthington       1
3046       dam                  1
3047       damag                154
3048       damascu              2
3049       dame                 1
3050       damir                3
3051       dammaj               1
3052       damor                1
3053       damp                 1
3054       dampen               2
3055       dan                  18
3056       dana                 2
3057       danah                4
3058       danburi              1
3059       danc                 11
3060       dancer               3
3061       dandelion            1
3062       dane                 1
3063       danewich             1
3064       danforth             3
3065       danger               103
3066       dangl                2
3067       daniel               19
3068       daniela              6
3069       daniil               2
3070       danni                1
3071       danzig               4
3072       daoud                1
3073       dapist               1
3074       dar                  5
3075       darden               1
3076       daren                7
3077       dark                 28
3078       darken               3
3079       darkhair             2
3080       darl                 1
3081       darn                 1
3082       darrel               2
3083       dart                 1
3084       darwinian            1
3085       daschl               11
3086       dash                 4
3087       dashboard            1
3088       data                 4
3089       datelin              7
3090       daughter             54
3091       daughterinlaw        2
3092       daunt                6
3093       dave                 18
3094       davenport            44
3095       davi                 4
3096       david                58
3097       davidian             2
3098       davidstyl            1
3099       dawn                 21
3100       day                  456
3101       daybreak             3
3102       daybyday             1
3103       dayeb                1
3104       daylight             4
3105       daytoday             2
3106       dayton               9
3107       daytona              1
3108       daytonhudson         3
3109       daze                 4
3110       dazesurvivor         1
3111       dc                   13
3112       dc10                 1
3113       dcalif               1
3114       dconn                3
3115       dd21                 1
3116       dday                 1
3117       dea                  1
3118       deactiv              2
3119       dead                 164
3120       deadli               53
3121       deadliest            16
3122       deadlin              13
3123       deadlock             3
3124       deadon               1
3125       deaf                 1
3126       deal                 98
3127       dealt                6
3128       dean                 5
3129       dear                 5
3130       dearborn             1
3131       dearli               3
3132       death                210
3133       deathdefi            1
3134       deathrow             1
3135       debar                1
3136       debat                65
3137       debbi                5
3138       deborah              3
3139       debra                2
3140       debri                47
3141       debt                 14
3142       debut                1
3143       dec                  48
3144       decad                81
3145       decadesold           2
3146       decay                2
3147       deceas               8
3148       deceit               1
3149       decemb               79
3150       decent               2
3151       decentr              3
3152       decept               1
3153       decibel              1
3154       decid                103
3155       decidedli            1
3156       decis                173
3157       decisionmak          2
3158       deck                 44
3159       declar               99
3160       declassifi           2
3161       declin               48
3162       decod                2
3163       decompos             1
3164       decor                2
3165       decrat               2
3166       decre                2
3167       decri                3
3168       ded                  1
3169       dedic                9
3170       dedinj               5
3171       dee                  1
3172       deed                 3
3173       deem                 8
3174       deep                 42
3175       deepen               5
3176       deeper               3
3177       deepest              1
3178       deepli               23
3179       deepsea              4
3180       deepseat             2
3181       deepwat              6
3182       defac                1
3183       default              2
3184       defeat               143
3185       defect               2
3186       defenc               3
3187       defend               121
3188       defens               153
3189       defer                2
3190       defi                 5
3191       defianc              7
3192       defiant              6
3193       defiantli            2
3194       defici               1
3195       deficit              11
3196       defin                7
3197       definit              11
3198       deflat               1
3199       deflect              5
3200       defoli               1
3201       defolt               1
3202       deforest             10
3203       defraud              3
3204       defunct              1
3205       defus                3
3206       degr                 1
3207       degrad               4
3208       degre                23
3209       dehuman              1
3210       dehydr               3
3211       del                  11
3212       delawar              25
3213       delay                34
3214       deleg                10
3215       delhi                17
3216       deli                 1
3217       deliber              15
3218       delic                7
3219       delici               1
3220       delight              5
3221       deliv                36
3222       deliveri             2
3223       dell                 1
3224       delsaut              2
3225       delta                9
3226       delus                2
3227       delv                 1
3228       demaci               1
3229       demagogu             2
3230       demand               75
3231       demarc               1
3232       demean               1
3233       demeanor             2
3234       dementieva           5
3235       demick               1
3236       demilitar            1
3237       demis                6
3238       democraci            72
3239       democrat             188
3240       democratich          1
3241       demograph            1
3242       demolish             4
3243       demolit              5
3244       demon                4
3245       demonstr             88
3246       demot                2
3247       demur                1
3248       demystifi            1
3249       dengu                1
3250       deni                 95
3251       denial               5
3252       denigr               1
3253       denis                14
3254       denisa               3
3255       denn                 1
3256       denni                8
3257       denomin              1
3258       denounc              13
3259       dens                 4
3260       dent                 2
3261       dental               1
3262       denver               21
3263       depart               180
3264       departur             20
3265       depend               34
3266       depict               1
3267       deplan               1
3268       deplet               2
3269       deplor               2
3270       deploy               22
3271       deport               3
3272       deportieren          1
3273       depos                7
3274       deposit              4
3275       depot                4
3276       depress              3
3277       depriv               1
3278       depth                12
3279       deputi               46
3280       dequia               2
3281       derail               1
3282       derelict             1
3283       deriv                3
3284       desai                1
3285       descend              18
3286       descent              9
3287       describ              16
3288       descript             8
3289       desegreg             1
3290       desert               31
3291       desertstyl           3
3292       deserv               15
3293       deservedli           2
3294       design               34
3295       designe              1
3296       desir                15
3297       desirepaulin         1
3298       desist               3
3299       desk                 6
3300       desol                1
3301       despair              6
3302       desper               39
3303       despic               12
3304       despis               3
3305       despot               1
3306       destabil             3
3307       destin               10
3308       destini              1
3309       destitut             1
3310       destroy              227
3311       destruct             27
3312       desvid               1
3313       detach               3
3314       detain               31
3315       detaine              2
3316       detat                7
3317       detect               14
3318       detector             1
3319       detent               10
3320       deter                15
3321       deterg               1
3322       deterior             11
3323       determin             101
3324       deterr               2
3325       detest               1
3326       deton                30
3327       detour               4
3328       detritu              1
3329       detroit              3
3330       deuc                 12
3331       deutch               8
3332       deutsch              1
3333       devast               58
3334       devastatingli        1
3335       develop              97
3336       deviat               1
3337       devic                15
3338       devilish             1
3339       devis                1
3340       devot                15
3341       devour               2
3342       devoutli             1
3343       dewat                2
3344       dewin                2
3345       dga                  2
3346       dhabi                4
3347       dhahran              12
3348       dharan               1
3349       dhingra              1
3350       dhrumal              1
3351       diabak               1
3352       diagnos              5
3353       diagnosi             1
3354       diagnost             1
3355       diagnostico          1
3356       diagram              1
3357       dialect              1
3358       diallo               2
3359       dialo                3
3360       dialogu              8
3361       diamet               3
3362       diamond              3
3363       dian                 2
3364       diann                3
3365       diari                1
3366       diarrhea             2
3367       diaz                 2
3368       dick                 36
3369       dickinson            1
3370       dictablanda          1
3371       dictadura            1
3372       dictat               29
3373       dictatori            3
3374       dictatorship         10
3375       diction              4
3376       dictionari           1
3377       dictment             1
3378       didnt                1
3379       die                  192
3380       diego                5
3381       dienstbier           2
3382       diesel               2
3383       diet                 3
3384       differ               59
3385       difficult            84
3386       difficulti           21
3387       diffus               1
3388       dig                  49
3389       digest               1
3390       digger               3
3391       digit                2
3392       dignitari            5
3393       digniti              8
3394       dilapid              1
3395       dilemma              4
3396       dilfer               1
3397       dilig                1
